testcase_id,testcase_title,testcase_description,test_steps,expected_results,preconditions
41621,Open Design part in Integrated NX from TC,,"1. Step1: search for the design type using part number in Global search
2. Step2: find the corresponding design element in Results Area
3. Step3: select the design and then click on Open--> Open in NX from the Primary tool bar
4. Step4: Execute the script by clicking on Open on openinnx.tcnx script that is opened in windows after Step3 execution;
5. Step5: Check whether the selected part is opened in Integrated NX","1. Displays required design part in Results Area
3. openinnx.nxtcxml
4. It will open the Integrated NX",
41683,Update & save NX part from Integrated TC NX environment,,"1. Step1: search for the design type using part number in Global search
2. Step2: find the corresponding design element in Results Area
3. Step3: select the design and then click on Open--> Open in NX from the Primary tool bar
4. Step4: Execute the script by clicking on Open on txnx script that is opened in windows after Step3 execution; It will open the Integrated NX
5. Step5: Check whether the selected part is opened in Integrated NX
6. Step6: Modify NX model or modify Part attribute and revise the NX part from Integrated NX using Save As option
7. Step7: Refresh the selected Design/Part in AWC
8. Step8: Check whether the Revision ID of the selected part is updated","1. Displays the desired part in Result Area
3. Opens openinnx.nxtcxml script in window screen
4. Opens Integrated NX
6. Revision gets updated in NX
7. Revision gets updated in AWC",
41737,Create a new single part,"Objective: Verify the functionality of creating a new single part. Group & Role: Object types: Standard part Pre-conditions: A valid TC user with the necessary privileges and access rights is logged into the system. Expected result: The newly created standard part is available and can be viewed in the AW user interface. The standard part contains necessary information about the ""Creator,"" ""Creation Date,"" etc. Additional Documents: 35782_Create a new single part.docx","Open Platon Active Workspace Client and login with valid user ID and password Platon Active Workspace Home page should get displayed Select FOLDERS tile on the G lobal navigation Users folders are displayed Select N ew->G roup command from the P rimary toolbar Command context menu has appeared Select Add command from the Command context menu The Add task panel is displayed Select Part from the list of available item types Add task panel got updated, ID and Revision has default values Provide Name All mandatory fields are filled Set the fields Unit of Measure -> each, Finish Type - > None, Make/Buy -> 0. All fields are filled Confirm Part creation by clicking the Add command on the T ask panel In the selected folder, the item has been created. Open previous mentioned Folder by clicking on it at the Results panel toolbar All the parts in the folder are displayed Spot your Part and scroll to the right on the W ork area toolbar The creater and last modified date are visible.",,
41974,Freeze single part,"Prerequisites A valid Part A valid user with the sufficient access right The Workflow ""Freez part"" is installed","1. Select global search and enter @partnumber
2. Select the Part in results panel.
3. Click on Manage primary toolbar.
4. Click on Submit to Workflow command context menu
5. Click on All Submit to Workflow
6. Select Set Frozen Maturity
7. Click on Submit","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option to Submit to Workflow
4. Submit to Workflow
5. List of all templates available to select
6. Optionally user can fill the description, Submit
7. Workflow initiated and processed completely to set the status Frozen",
41993,Check-out of single part,Prerequisite A valid single part ( #41737 -> use part id as @partnumber ) and the user has access to check out and edit and A valid Teamcenter user (with right privileges) and system Additional Documents: 37639_Check-out of Single part.docx,"1. Select global search and enter @partnumber
2. Select the Part with @partnumber in results panel toolbar.
3. Click on Edit primary toolbar.
4. Click on Checkout command context menu","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option to checkout is displayed
4. Checked out icon appears below the part in the results panel toolbar",
42001,Create Alternative ID for existing Part,,"Select any existing Platon Part -> Open It displays the Part revision in Work area New -> Create Alternative ID in Primary toolbar It displays the Alternative ID dailog box Choose listed Context and Type , enter new Alternative ID and name Click ""Create"" It will create Alternative ID for the selected Part Revision",,
42006,Search the part with alternative ID,,"1. Go to Search tool bar -> Advanced search
2. Click on Advanced button
3. Select Item Revision...
4. enter Alternative ID under Alternative ID entry
5. Click on Search","1. Id displays the Advanced Search menu
5. Displays the original Part details in Work Area",
42022,Check-out of assembly part,"Given A valid part #42154 the user has access to check out and edit and A valid Teamcenter user (with right privileges) and system When The user selects the part and checks out for modifications Then The system checks out the part, shows other users with a checked out icon and the part is locked for modifications by users other than the user who has checked out the single part. The Teamcenter version of the part is incremented. Once the modifications are done, then the user can choose to check in the part or cancel the check out and all modifications are reverted back. Additional Documents: 38276_Check-out of Assembly part.docx","1. Select global search and enter @partnumber
2. Click on the Part in results panel.
3. Expand the structure.
4. Select the desired part in results panel.
5. Click on Edit primary toolbar.
6. Click on Checkout command context menu","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly structure is displayed
4. The part is selected
5. The option to checkout is displayed
6. Checkout completed",
42023,Change meta data of an assembly part,"Given A valid part #42154 Write & change access to the part for modifications A valid TC user (with right privileges) and system When The user wants to make modifications to the part Then The system checks out the part to the user and allows the user to modify meta data (allowed ones), update and save and check in the changes. Additional Documents: 38282_Change meta data of an assembly part.docx","1. Select global search and enter @partnumber
2. Select the Part in results panel.
3. Expand the structure.
4. Click on the desired Part .
5. Click on Edit primary toolbar.
6. Click on Summary
7. Make the required changes.
8. Click on Edit primary toolbar.
9. Click on Save Edit","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly structure is displayed
4. The part is selected
5. The option to change data is displayed
6. A window to make changes is displayed
7. Changes made are visible
8. Option to save the edit shows up.
9. The Changes made to the part are saved",
42137,Check-out already checked-out part,Prerequisite A valid single part ( #41737 ) and Check-out part ( #41993 ) and the user has access to check out and edit and A valid Teamcenter user (with right privileges) and system Additional Documents: 37639_Check-out of Single part.docx,"1. Select global search and enter @partnumber
2. Select on the Part with @partnumber in results panel
3. Click on Edit primary toolbar.","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option to check-out is not",
42139,"Check-out, edit and cancel check-out",Prerequisite A valid single part ( #41737 -> use part id as @partnumber ) and A valid Teamcenter user (with right privileges) and system Additional Documents: none,"1. Select global search and enter @partnumber
2. Select on the Part with @partnumber in result panel
3. Click on Edit primary toolbar.
4. Click on Checkout command context menu
5. Click on Edit primary toolbar.
6. Click on Start Edit command context menu
7. Change the attribute Name
8. Click on Edit primary toolbar.
9. Click on Start Edit command context menu
10. Click on Edit primary toolbar.
11. Click on Cancel Checkout command context menu","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option Checkout command context menu
4. Checked out icon appears below the part in the location panel
5. The option Start Edit command context menu
6. The attributes in the workarea
7. The Part has a new name
8. The option Save Edit command context menu
9. The Part is saved and the workarea
10. The option Cancel Checkout command context menu
11. The workarea",
42144,"User A Checked-out a Part, User B can't see changes of the Part",Prerequisite a valid single part ( #41737 -> use part id as @partnumber ) and a user A and a user B and a valid Teamcenter user (with right privileges) and system Additional Documents: none,"1. User A: Select global search and enter @partnumber
2. User A: Select on the Part with @partnumber in result panel
3. User A: Click on Edit primary toolbar.
4. User A: Click on Checkout command context menu
5. User A: Click on Edit primary toolbar.
6. User A: Click on Start Edit command context menu
7. User A: Change the attribute Name
8. User A: Click on Edit primary toolbar.
9. User A: Click on Start Edit command context menu
10. User B: Select global search and enter @partnumber
11. User B: Select on the Part with @partnumber in result panel
12. User A: Click on Edit primary toolbar.
13. User A: Click on Checkout-in command context menu
14. User B: Refresh the workarea","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The option Checkout command context menu
4. Checked out icon appears below the part in the location panel
5. The option Start Edit command context menu
6. The attributes in the workarea
7. The Part has a new name
8. The option Save Edit command context menu
9. The Part is saved and the workarea
10. The part is shown in the result panel
11. The part details are displayed in workarea. The name is still from the head the revision.
12. The option Check-in command context menu
13. The workarea
14. The workarea",
42154,Create an Assembly part,"Objective: Verify the functionality of creating a new assembly part. Group & Role: Object types: Assembly part Pre-conditions: A valid TC user with the necessary privileges and access rights is logged into the system. Expected result: The newly created assembly part is available and can be viewed in the AW user interface. The assembly part contains necessary information about the ""Creator,"" ""Creation Date,"" etc.,","1. Open
2. Select tile on the G lobal navigation
3. Select N ew->G roup rimary toolbar
4. Select Platon Part from the list of available item types
5. Select Assembly Indicator
6. Choose Assembly
7. Update
8. Confirm Part clicking Add command on the T ask panel
9. Open Folder Results panel toolbar
10. Spot Part ork area toolbar","1. Platon Active Workspace Home page
2. Users folders are displayed
3. Command context menu
4. Task panel
5. Multiple options displaying the type of the part appears
6. The Part type Assembly
7. All required fields are filled
8. In the selected folder, the item has been created.
9. All the parts
10. The creator and last modified date are visible.",
42181,Test case for Create Standard part,,"1. On the Home page check for the tile to create Standard part[If tile is not available proceed from step 3]
2. On click of tile it should select the home folder and open the create panel for the standard part[skip to step 6]
3. Click on folders command on the global navigation
4. Click on new group command on the primary toolbar
5. Choose Standard Part from the list of available item types
6. Click on the Assembly Indicator
7. Select the appropriate assembly type
8. Verify the auto generated ID
9. Update the required OOTB and custom properties
10. Confirm Part creation by clicking the Add command on the task panel
11. Click on your Folder in the Results panel toolbar
12. Spot your Standard Part work area tool bar","1. Tile for standard part creation should exist
2. Create panel should be opened
3. The folders of the users is listed
4. Command context menu
5. Task panel
6. Multiple options displaying the type of the part appears
7. The desired assembly indicator gets selected
8. ID should be as per the standard naming rule
9. All required fields are filled
10. In the selected folder, the item has been created.
11. All the parts in the folder are displayed
12. The creator and last modified date are visible.",
42189,Check-out already checked-out assembly part,Prerequisite A valid part ( #42154 ) and Checked-out part ( #42022 ) and the user has access to check out and edit and A valid Teamcenter user (with right privileges) and system,"1. Select global search and enter @partnumber
2. Click on the Part in results panel.
3. Expand the structure.
4. Select the desired part in results panel
5. Click on Edit primary toolbar.","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly structure is displayed
4. The part is selected
5. The option to check-out is not",
42191,"Check-out, edit and cancel check-out",Prerequisite A valid part ( #42154 ) and A valid Teamcenter user (with right privileges) and system Additional Documents: none,"1. Select global search and enter @partnumber
2. Click on the Part in results panel.
3. Expand the structure.
4. Select the desired part in results panel.
5. Click on Edit primary toolbar.
6. Click on Checkout command context menu
7. Click on Edit primary toolbar.
8. Click on Start Edit command context menu
9. Change the attribute Name
10. Click on Edit primary toolbar.
11. Click on Start Edit command context menu
12. Click on Edit primary toolbar.
13. Click on Cancel Checkout command context menu","1. The part is shown in the result panel
2. The part details are displayed in workarea
3. The assembly structure is displayed
4. The part is selected
5. The option Checkout command context menu
6. Checked out icon appears below the part in the location panel
7. The option Start Edit command context menu
8. The attributes in the workarea
9. The Part has a new name
10. The option Save Edit command context menu
11. The Part is saved and the workarea
12. The option Cancel Checkout command context menu
13. The workarea",
